,Date
715,2025-11-02
948,2025-09-05
1036,2025-07-03
2830,2025-09-05
2880,2025-10-01
3333,2025-07-03
3504,2025-11-05
3798,2025-07-02
4856,2025-06-03
5138,2025-07-02
5146,2025-08-03
5184,2025-10-05
5397,2025-10-04
6205,2025-06-05
6388,2025-12-03
6661,2025-08-05
6756,2025-06-05
6769,2025-06-04
6893,2025-10-03
6925,2025-09-05
7161,2025-06-05
7363,2025-06-01
8275,2025-08-04
8884,2025-07-04
9193,2025-08-03
9289,2025-12-03
9475,2025-07-02
10202,2025-10-04
10366,2025-10-05
10390,2025-06-01
10475,2025-07-02
11358,2025-11-04
11445,2025-08-03
12084,2025-08-04
12405,2025-11-01
12919,2025-11-05
13012,2025-12-03
13177,2025-09-02
14052,2025-08-04
14302,2025-10-05
14339,2025-06-01
14642,2025-06-04
14918,2025-11-02
15300,2025-11-02
15368,2025-08-05
15545,2025-07-03
15895,2025-07-05
16395,2025-10-01
17285,2025-07-01
18391,2025-06-04
18752,2025-12-03
18817,2025-08-03
19583,2025-12-05
20595,2025-10-01
21079,2025-08-04
21207,2025-06-02
21568,2025-09-04
21606,2025-08-01
21721,2025-08-02
21726,2025-08-05
22679,2025-06-02
23609,2025-11-01
23864,2025-12-02
24137,2025-06-01
24293,2025-06-01
24357,2025-12-04
24383,2025-11-04
24440,2025-08-03
25347,2025-06-01
25884,2025-09-02
26371,2025-12-02
26447,2025-08-02
26587,2025-12-05
26979,2025-12-02
27504,2025-08-05
28572,2025-10-03
28600,2025-10-05
28962,2025-10-01
29080,2025-12-03
29583,2025-11-01
30401,2025-09-04
31199,2025-08-04
31290,2025-06-03
32393,2025-09-03
32836,2025-07-02
32864,2025-06-02
33238,2025-06-02
33380,2025-10-03
33590,2025-10-05
33592,2025-07-02
34878,2025-10-05
35287,2025-09-04
35983,2025-11-05
36479,2025-12-02
36729,2025-07-03
36770,2025-07-05
36821,2025-10-04
37179,2025-12-01
37479,2025-08-02
37550,2025-09-04
38002,2025-12-05
39081,2025-11-02
40147,2025-11-01
40345,2025-12-01
40384,2025-09-04
40391,2025-06-03
40642,2025-10-05
40705,2025-06-04
41539,2025-09-02
41582,2025-08-02
41603,2025-11-05
42896,2025-11-03
43020,2025-11-01
43317,2025-06-01
43577,2025-10-04
44386,2025-07-02
44816,2025-11-05
45108,2025-11-02
45194,2025-11-05
45498,2025-11-04
45611,2025-06-05
45618,2025-06-04
46068,2025-12-05
46081,2025-06-02
46325,2025-06-01
46533,2025-12-01
46933,2025-12-02
47833,2025-06-02
48398,2025-07-02
48583,2025-08-05
48948,2025-07-02
49201,2025-12-02
49419,2025-08-04
49569,2025-07-01
49870,2025-06-04
49906,2025-08-02
50749,2025-10-02
50847,2025-06-03
50867,2025-12-01
51095,2025-12-04
51179,2025-09-04
51222,2025-12-03
52104,2025-06-04
53751,2025-08-05
55592,2025-12-04
55759,2025-09-02
56086,2025-07-04
56164,2025-12-05
57209,2025-06-04
57524,2025-09-02
58887,2025-11-05
59084,2025-10-05
59768,2025-09-04
60134,2025-07-02
60288,2025-11-04
60396,2025-09-01
60431,2025-10-04
60780,2025-10-02
61002,2025-12-04
61088,2025-12-04
61472,2025-12-04
61749,2025-10-05
62406,2025-09-01
62517,2025-11-02
62645,2025-07-05
62796,2025-09-05
62977,2025-11-03
63011,2025-07-01
63102,2025-07-04
65414,2025-06-05
66079,2025-09-03
67176,2025-07-05
67654,2025-12-01
67662,2025-09-02
67907,2025-06-03
68103,2025-08-01
68660,2025-07-03
68912,2025-11-05
68916,2025-10-04
69109,2025-10-01
69202,2025-12-01
69665,2025-08-04
70679,2025-06-05
70859,2025-11-05
72580,2025-08-01
73533,2025-08-02
74392,2025-07-03
74536,2025-08-05
74979,2025-07-05
75024,2025-11-01
75044,2025-11-04
75148,2025-11-05
75320,2025-07-01
75993,2025-06-03
76010,2025-12-05
77126,2025-06-04
77409,2025-12-01
78085,2025-06-04
78642,2025-07-03
78643,2025-06-03
79025,2025-10-04
79295,2025-07-02
79375,2025-11-04
79521,2025-08-04
79701,2025-11-02
80540,2025-09-04
81192,2025-12-01
82219,2025-08-01
82488,2025-08-04
82538,2025-07-01
83152,2025-06-03
83530,2025-06-03
83758,2025-08-02
83954,2025-11-02
84240,2025-06-03
85715,2025-10-03
86461,2025-09-01
87068,2025-06-03
87352,2025-06-01
87463,2025-11-04
87653,2025-06-02
88103,2025-06-02
88334,2025-08-05
88934,2025-08-01
89053,2025-09-02
89824,2025-08-04
89857,2025-06-05
90091,2025-07-02
90183,2025-10-02
90231,2025-09-04
92544,2025-08-03
93174,2025-12-03
93385,2025-06-03
93444,2025-06-04
94023,2025-09-04
94086,2025-10-02
94296,2025-09-01
94869,2025-11-01
95023,2025-09-04
95262,2025-11-02
95529,2025-08-05
95723,2025-07-01
96167,2025-07-04
96944,2025-10-05
97184,2025-06-01
97264,2025-08-05
97324,2025-09-01
97450,2025-09-03
99171,2025-06-04
99707,2025-11-03
99928,2025-10-05
100523,2025-06-04
100725,2025-12-05
101049,2025-10-05
101660,2025-11-02
101890,2025-09-02
103256,2025-09-01
103661,2025-12-02
104021,2025-12-02
104275,2025-11-02
104398,2025-11-05
104651,2025-09-05
104943,2025-06-05
105025,2025-12-03
105202,2025-09-05
105238,2025-07-05
105941,2025-12-01
106105,2025-10-02
106116,2025-06-03
106623,2025-12-04
106947,2025-10-01
107139,2025-08-03
107441,2025-09-02
108229,2025-07-02
108654,2025-12-01
109294,2025-07-01
111611,2025-09-01
111833,2025-12-04
112189,2025-08-05
113018,2025-08-02
113109,2025-09-05
113953,2025-12-02
114218,2025-12-02
114243,2025-12-02
114347,2025-06-02
114563,2025-09-01
114815,2025-06-01
115085,2025-10-04
115156,2025-12-01
115725,2025-10-04
116204,2025-10-01
117068,2025-07-01
117459,2025-08-03
118157,2025-08-02
119382,2025-12-01
119788,2025-07-02
121255,2025-09-01
121303,2025-11-05
121431,2025-08-03
121960,2025-10-01
123227,2025-08-04
123344,2025-11-02
123388,2025-08-04
123578,2025-08-04
124019,2025-06-05
124346,2025-08-03
125224,2025-11-03
125392,2025-09-03
125479,2025-11-03
126069,2025-07-02
126119,2025-11-03
126336,2025-12-05
127294,2025-10-04
127716,2025-10-01
128134,2025-07-04
129457,2025-07-05
129519,2025-11-03
129592,2025-06-03
130291,2025-10-01
130555,2025-12-05
130926,2025-06-04
131005,2025-07-05
131376,2025-07-05
131392,2025-09-04
132945,2025-09-03
133045,2025-07-05
133434,2025-08-05
133744,2025-08-05
133775,2025-12-03
134381,2025-11-04
134500,2025-10-02
134879,2025-08-03
135414,2025-06-05
135605,2025-06-02
135814,2025-08-01
135829,2025-09-05
135984,2025-09-05
136198,2025-10-03
136453,2025-06-02
136966,2025-10-01
137045,2025-08-03
137381,2025-09-05
137886,2025-07-02
138848,2025-07-03
139385,2025-06-05
139820,2025-06-05
139828,2025-10-03
139934,2025-12-02
140215,2025-07-02
140492,2025-08-04
140783,2025-07-04
141125,2025-11-05
141381,2025-12-05
142220,2025-06-01
142400,2025-08-01
142619,2025-11-05
143042,2025-06-01
144119,2025-08-01
145524,2025-12-04
145764,2025-10-05
146215,2025-11-01
146310,2025-07-04
146702,2025-12-03
146955,2025-09-02
147176,2025-06-05
147674,2025-12-04
147676,2025-12-01
147737,2025-07-02
147994,2025-09-02
148430,2025-10-01
148585,2025-10-03
149321,2025-08-01
150302,2025-07-05
151625,2025-09-02
151653,2025-09-03
152205,2025-09-03
152841,2025-08-05
153081,2025-07-04
153363,2025-07-04
153422,2025-11-04
153459,2025-08-05
153491,2025-12-02
153805,2025-09-01
154923,2025-12-05
155036,2025-11-05
155967,2025-11-02
155968,2025-10-01
156497,2025-12-01
156676,2025-07-01
156849,2025-09-04
157090,2025-06-03
157181,2025-07-05
157477,2025-09-04
158078,2025-08-01
158311,2025-09-03
158943,2025-11-04
158962,2025-12-03
159133,2025-10-02
160369,2025-07-05
160494,2025-12-05
161420,2025-07-03
161675,2025-10-01
161969,2025-09-05
162049,2025-11-01
162250,2025-09-02
162764,2025-12-05
163276,2025-09-02
164579,2025-07-02
164689,2025-11-01
164981,2025-10-04
165394,2025-12-03
165768,2025-09-01
165769,2025-12-02
166031,2025-07-02
166156,2025-12-05
166504,2025-10-03
166688,2025-06-02
167052,2025-09-02
167055,2025-10-05
167469,2025-06-02
167760,2025-12-01
168101,2025-12-01
168483,2025-09-02
169509,2025-11-03
170115,2025-09-03
171241,2025-11-03
171830,2025-09-05
172046,2025-09-05
173341,2025-08-04
173510,2025-06-03
173907,2025-11-04
174045,2025-06-03
174934,2025-08-04
175210,2025-12-01
175499,2025-06-01
176021,2025-10-04
176485,2025-09-05
176926,2025-08-05
177090,2025-10-02
177642,2025-06-02
177837,2025-06-02
